HLLG #,Read bibliography
2736,"Sara Azuara Galve, Carolina Villargordo Ros, and Josefina Pérez Arantegui, ""El complejo de prensado de la villa romana de La Loma del Regadío (Urrea de Gaén, Teruel),"" AnMurcia, 27-28 (2011-2012), 219-230"
2737,"Yolanda Peña Cervantes, ""Arqueología de la producción de vino y aciete en la región central de la Península Ibérica: épocas romana y tardoantigue. Estado de la cuestión,"" in Vides monumenta veterum: Madrid y su entorno en época romana, vol. 2, ed. Enrique Baquedano (Alcalá de Henares: Museo Arqueológico Regional, 2017), 55-66, at 63"
2738,"P. P. Ripollès, ""Las balsas romanas de Benifaraig (Alberic, Valencia),"" Estudios de Arqueología Ibérica y Romana (Homenaje a E. Pla Ballester), Valencia (1992), 397-409."
2739,"Beltrán López, F. 1992: «La vil·la romana de Font de Mussa, Benifaió. Materials arqueològics». Al-Gezira, 7, 37-78.

María del Mar Llorens Forcada, ""Hallazgos Numismáticos 1985-1986,"" Saguntum 21 (1988), 427-440, at 428

Pere Pau Ripollès, ""Hallazgos numismáticos: 1984,"" Saguntum 19 (1985), 319-356, at 337

García-Entero, Los balnea, 101"
2740,
2741,"García-Entero, Los balnea, 103
Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 877
"
2742,"García-Entero, Los balnea, 102"
2743,
2744,"Pere Pau Ripollès, ""Hallazgos numismáticos: 1984,"" Saguntum 19 (1985), 319-356, at 339-340"
2745,"A. Carvalho, ""Evidências arqueológicas da produção de vinho nas villae romanas do território português: graínhas de uva, alfaias vitícolas e lagares de vinho,"" in Économie et territoire en Lusitanie romaine, ed. J. G. Gorges and F. G. Rodríguez Martín, (1999), 361-390. "
2746,
2747,
2748,
2749,
2750,"Clementino Amaro, Maria Joao Pina  and Sara Ramos, ""Villa Romana do Monte da Chaminé, Ferreira do Alentejo,"" Al-madan 2nd series 16 (2008), 164-165.

Clementino Amaro, Maria Joao Pina  and Sara Ramos, ""Villa romana do Monte da Chaminé. Ferreira do Alentejo. Sétima campanha arqueológica"" Al-madan on line. II Série, nº 15 (2007), addenda electronica, 3.

Clementino Amaro, Sara Ramos, and Eurico de Sepúlveda, ""Villa romana do Monte da Chaminé, Ferreira do Alentejo. Transformações na área residencial e nas estruturas produtivas (Séculos I a VI),"" in VI Encuentro de Arqueología del Suroeste Peninsular, Villafranca de los Barros, 46 de Octubre de 2012, 1764-1783 (2013).

Francisco Germán Rodríguez Martín, ""La producción de vino y aceite entre Augusta Emerita y el occidente atlántico,"" AnMurcia 27-28 (2011-2012), 451-469, at 460"
2751,
2752,
2753,
2754,https://www.allaboutportugal.pt/en/vidigueira/monuments/horta-do-cano
2755,
2756,
2757,
2758,
2759,"A. Viana, ""Notas históricas, arqueológicas e etnográficas do Baixo Alentejo"", ArBeja 4 (1947), 3-39, at 18-19 

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 905; García-Entero, Los balnea, 382"
2760,"A. Viana, ""Villa romana do Monte do Meio,"" Arquivo de Beja 16 (1959), 36-43, at 42

García-Entero, Los balnea, 390"
2761,
2762,
2763,
2764,
2765,"García-Entero, Los balnea, 394

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 912"
2766,
2767,
2768,
2769,
2770,
2771,
2772,
2773,
2774,
2775,
2776,"García-Entero, Los balnea, 111
Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 929
"
2777,
2778,
2779,"M. C. Hipolito, ""Tesouro monetário romano da Quinta da Madeira (Ferro, Covilhâ),"" Nummus 2.2 (1979), 65-71."
2780,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 933

García-Entero, Los balnea, 405"
2781,
2782,
2783,
2784,"Sónia Filipe, ""Arqueologia urbana em Coimbra: um testemunho na Reitoria da Universidade,"" Conimbriga 45 (2006), 337-357

H. Catarino and S. Filipe, ""A história tal qual se faz’ no pátio da Universidade de Coimbra: A presentação sumária dos vestígios de época romana,"" in A história tal qual se faz, (Lisbon, 2003), 49-63. "
2785,
2786,
2787,"A. Paço and B. Leal, ""Castelo da Lousa, Mourão (Portugal). Una fortificación romana de la margen izquierda del Guadiana,"" AEspA 113-114 (1966), 167-183.

A. Gonçalves and P. C. Carvalho, ""Intervenção Arqueológica no Castelo da Lousa,"" Al-Madan II, serie 2 (2002), 181-188 

Castelo da Lousa–Intervenções Arqueológicas de 1997 a 2002, ed. Jorge de Alarcão, Pedro C. Carvalho, Ana Gonçalves (Zaragoza, 2010) "
2788,
2789,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 947"
2790,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 948"
2791,"TEICHNER, Félix (2007) - Subsídios para a restituição virtual da villa romana de Abicada (Mexilhoeira Grande, Algarve). In Património e Estudos, 10.

SOUSA, J. e VIDIGAL, J. (2012). Villa da Abicada uma proposta."
2792,
2793,
2794,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2795,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2796,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2797,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2798,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2799,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2800,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2801,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2802,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2803,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2804,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2805,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2806,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2807,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2808,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2809,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2810,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2811,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2812,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2813,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2814,"Andres Martinez Rodriguez and Juana Ponce Garda, ""Lorca como centro territorial durante los siglos V-VII d.C,"" V Reunió d' Arqueologia Cristiana Hispanica, Cartagena (1998), Barcelona, 2000, 199-209, ceramics at 206. "
2815,"Leticia López-Mondéjar, ""Ocupación del territorio entre los siglos V a. C - III d. C en las altiplanicies loqruinas (Lorca, Murcia),"" BSAA arqueología, LXXVII-LXXVIII (2011-2012), 139-170, at 153-154. "
2816,"López Vilar (2014), "" Noves troballes numismàtiques a l'ager Tarraconensis,"" Acta Numismatica 44, 71-92, at 87"
2817,
2818,
2819,
2820,
2821,
2822,
2823,
2824,"Carlos Fabião, «Avenida da Liberdade (Sesimbra, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/avenida-da-liberdade), 08 January, 2017.

L. F. P. Ferreira and A. F. C. P Conceição,  ""URBCOM Sesimbra. Intervenção arqueológica na frente marítima da vila de Sesimbra,"" in Actas do Encontro Arqueologia e Autarquias, ed. M. J. Almeida, and A. Carvalho (Cascais: Câmara Municipal de Cascais, 2011), 293-310. 
"
2825,"Enrique García Vargas, «Calle Cassola (Águilas, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/calle-cassola), 21 May, 2016.

Hernández García, J. D. 1996, ""La factoría de salazones de c/Cassola - paseo de la Constitución (Águilas, Murcia)"", Memorias de Arqueología, vol. 11, pp. 339-358."
2827,"Jose Angel Expósito Álvarez, Dario Bernal Casasola, «Calle Padre Castrillón (Barbate, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/calle-padre-castrillon), 07 November, 2016.

Paloma Bueno Serrano, ""Baesippo, un ejemplo de poblamiento tardorromano en el litoral del Conventus Gaditanus,"" Revista de Claseshistoria 334  (2012), 1-76"
2828,"Carlos Fabião, «Comenda (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/comenda), 28 February, 2018.

Trindade, L.; Diogo, A. M. D. 1996, ""Materiais provenientes do sítio romano da Comenda (Setúbal)"", Al-madan, vol. 2 (5), pp. 7-12.

A. M. Diogo, J. C. Faria, and M. Ferreira, ""Fornos de Ânforas de Alcácer do Sal,"" Conimbriga 26 (1987), 77-111, at 105-109

C. Viegas, ""O sítio romano da Comenda: novos dados sobre a campanha de 1977,"" in A. Sousa, A. Carvalho, C. Viegas (eds.), Terra e Água. Escolher sementes, invocar a deusa. Estudos em homenagem a Victor S. Gonçalves (Estudos & Memórias, 9), 439-465 (Lisbon: Centro de Arqueologia da Universidade de Lisboa, 2016)

García-Entero, Los balnea, 470"
2829,"Carlos Fabião, «Creiro (S. Lourenço e S. Simão, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/creiro), 28 February, 2018.

Silva, C. T.; Coelho-Soares, A. 2016, ""Creiro (Arrábida): um estabelecimento de produção de preparados de peixe da Época Romana"", Revista Portuguesa de Arqueologia, vol. 19, pp. 211–234

Carlos Tavares da Silva and Antónia Coelho-Soares, ""Escavações arqueológicas no Creiro (Arrábida). Campanha de 1987,"" Sétubal Arqueológica 8 (1987), 221-237.
"
2830,"Adolfo Fernández Fernández, «Igrexiña (Nerga) (Cangas do Morrazo, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/igrexina-nerga), 09 October, 2017.

Lino Gorgoso López and Angel Acuña Piñeiro, ""Igrexiña fronte ao mar. Unha salgadura romana en Nerga (Cangas, Pontevedra),"" GALLÆCIA 35 (2016), 71-98 

"
2831,"Carlos Fabião, «Ilha do Pessegueiro - D14 (Porto Covo, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/ilha-do-pessegueiro-d14), 28 February, 2018.

Carlos Fabião, «Ilha do Pessegueiro – P16 (Porto Covo, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/ilha-do-pessegueiro-p16), 28 February, 2018.

Carlos Fabião, ""O azeite da Baetica na Lusitania,"" Conlmbriga 32-33 (1993-1994), 219-245, at 227"
2832,"
Alicia Arévalo González and Bartolomé Mora Serrano, ""Las monedas de las cetariae de Tradvcta. Un ejemplo de circulación monetaria en el estrecho de Gibraltar en la Antigüedad Tardía,"" in Las cetariae de Ivlia Tradvcta Resultados de las excavaciones arqueológicas en la calle San Nicolás de Algeciras (2001‐2006), ed. Darío Bernal Casasola and Rafael Jiménez‐Camino Álvarez, 655-718. 

Bernal, D.; Expósito, J.A. 2006, ""Nuevas cetariae en Iulia Traducta. Avance del control arqueológico en c/ San Nicolás 1"", In: I Jornadas de Arqueología del Campo de Gibraltar. Protección del Patrimonio, Almoraima, vol. 33, Campo de Gibraltar. pp. 293-308.

Dario Bernal Casasola, Jose Angel Expósito Álvarez, Rafael Jiménez-Camino Álvarez, «Iulia Traducta A (c/ San Nicolás 1) (Algeciras, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/iulia-traducta-a-c-san-nicolas-1), 12 November, 2016."
2833,"Carlos Fabião, «Largo João de Deus (1) (Sines, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/largo-joao-de-deus-1), 28 February, 2018.

Carlos Fabião, «Largo João de Deus (2) (Sines, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/largo-joao-de-deus-2), 28 February, 2018.

C. T. Silva and A. Coelho-Soares, ""Produção de preparados piscícolas na Sines romana,"" Setúbal Arqueológica 13 (2006), 101-122."
2835,"Sánchez Fernández, M.J.; Blasco, E.; Guardiola, A. 1989, ""Descubrimiento de una factoría bajoimperial de salazón de pescado en Santa Pola (Alicante)"", Saguntum, vol. 22, pp. 413-438

Enrique García Vargas, «Picola I (Santa Pola, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/picola-i), 21 May, 2016.

Jaime Molina Vidal, ""La cetaria de Picola y la evolución del Portus Ilicitanus (Santa Pola, Alicante),"" in Molina Vidal, J. Sánchez Fernández, Ma. J. (Eds.), 2005: III Cong. Int. de Est. Históricos. El Mediterráneo: la cultura del mar y la sal, Elche, 95-112.

Mateo Corredor, ""Aproximación a la historia de un enclave portuario. El caso de Santa Pola (Alicante) desde la Antigüedad a la Alta Edad Media,"" in Comercio y comunicaciones en el corredor del Vinalopó, edited by Juan Carlos Márquez Villora, Rosario Navalón-García, and J. Leonardo Soler Milla, 115-142 (Elda, 2021). "
2836,"Molina Vidal, J.; Sánchez Fernández, M.J. 2005, ""La cetaria de Picola y la evolución del Portus Ilicitanus” (Santa Pola, Alicante)"", In: III Congreso. Internacional. de Estudios Históricos. El Mediterráneo: la cultura del mar y la sal, Santa Pola. pp. 95-112

Enrique García Vargas, «Picola II (Santa Pola, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/picola-ii), 21 May, 2016.

Mateo Corredor, ""Aproximación a la historia de un enclave portuario. El caso de Santa Pola (Alicante) desde la Antigüedad a la Alta Edad Media,"" in Comercio y comunicaciones en el corredor del Vinalopó, edited by Juan Carlos Márquez Villora, Rosario Navalón-García, and J. Leonardo Soler Milla, 115-142 (Elda, 2021). "
2837,"Carlos Fabião, «Quinta do Lago (Loulé, Portugal)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/quinta-do-lago), 05 February, 2017.

Carlos Fabião, ""O azeite da Baetica na Lusitania,"" Conlmbriga 32-33 (1993-1994), 219-245, at 226

A.M. Arruda and C. Fabião, ""Ânforas da Quinta do Lago (Loulé),"" in A. Alarcão and F. Mayet, (eds.) Ânforas da Lusitânia: Tipologia, Produção, Comércio (Conimbriga/Paris 1990), 199-213.

"
2838,"Dario Bernal Casasola, Jose Angel Expósito Álvarez, «Retín - Manzanete - Novillero (Barbate, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/retin-manzanete-novillero), 13 November, 2016."
2839,"Dario Bernal Casasola, Juan Blánquez Pérez, Lourdes Roldán Gómez, Jose Juan Díaz Rodríguez, ""Villa Victoria (San Roque - Puente Mayorga, Spain),""  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/villa-victoria), 08 November, 2016.

Daría Bernal, Juan Blánquez, Lourdes Roldan, and José Juan Díaz, ""Una cetaria anexa en el barrio alfarero de Carteia. Actividad arqueológica preventiva en la parcela R-3 de Villa Victoria (San Roque, Cádiz)"", Revista Caetaria, 6-7 (2009), 459-466"
2840,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 718

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 128."
2841,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 719

García-Entero, Los balnea, 642

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 127"
2842,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 720

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 267."
2843,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 721

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 125."
2844,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 722

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 124."
2845,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 728

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 96.

Carr 2002, 207

García-Entero, Los balnea, 633"
2846,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 731

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 177."
2847,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 732

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 128."
2848,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 735

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 243."
2849,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 741

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 262"
2850,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 742

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 203."
2851,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 745

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 279."
2852,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 746

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 192."
2853,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 747

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 266."
2854,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 752


Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 107."
2855,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 753

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 114."
2856,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 754

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 106."
2857,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 757

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 122."
2858,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 758; Carr 2002, 209; García-Entero, Los balnea, 642, as ""Doña María""

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 113."
2859,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 759

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 181."
2860,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 760

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 220."
2861,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 761

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, , 86"
2862,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 762

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 71.
"
2863,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 763

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 68."
2864,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 764

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 68."
2865,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 765

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 71."
2866,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 766

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 177."
2867,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 767

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 90."
2868,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 771; 
Carr 2002, 211

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 183."
2869,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 772

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 221."
2870,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 773

García-Entero, Los balnea, 640

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 78."
2871,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 774

García-Entero, Los balnea, 644


Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 75."
2872,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 776

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 40."
2873,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 780

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 54."
2874,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 782

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 223."
2875,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 784

Ponsich, M. 1991: Implantation rurale antique sur les Bas Guadalquivir. T. IV: Écija, Dos Hermanas, Los Palacios y Villafranca, Lebrija, Sanlúcar de Barrameda, Madrid, 132."
2876,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 785

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 75."
